# PathPlanner CSV Format:
# timeSeconds, xPositionMeters, yPositionMeters, headingDegrees, velocityMetersPerSecond, accelerationMetersPerSecondSq, curvatureRadPerMeter, holonomicRotationDegrees, angularVelocityDegreesPerSec, holonomicAngularVelocityDegreesPerSec
 0.0,2.081102908697866,0.7201401493541999,0.012776704534549072,0,6.0,0.03545422455355042,0.0,0.0,0.004197577120561848
 0.06351685743308108,2.0932060819314615,0.720142848308158,0.012776704534549072,0.3811011445984865,6.0,0.03545422455355042,0.0002666169075310899,0.9290060384328047,0.029967636797149127
 0.09020593625857483,2.1055142385595897,0.7201509192353381,0.03757101992364187,0.5412356175514489,5.9999999999999964,0.03349257306142839,0.00106642552822397,1.1485897928605868,0.06428713089620619
 0.11093907547664868,2.118025333973261,0.7201643232336986,0.06138489200347902,0.665634452859892,6.0,0.03168035580732061,0.0023992995630255495,1.2942351142177702,0.10548251610989527
 0.1286266415440462,2.130737323563487,0.7201830214011979,0.08427676109295162,0.7717598492642771,5.999999999999996,0.030003467590465537,0.004265028535674647,1.3971618480268755,0.1521445889677709
 0.14438986589881864,2.1436481627212793,0.7202069748357945,0.10630053676332772,0.8663391953929116,5.9999999999999964,0.02844938147927218,0.006663317825938253,1.471497617911291,0.20335207944460434
 0.15880068922652282,2.156755806837649,0.7202361446354469,0.12750602896218488,0.9528041353591367,5.9999999999999964,0.027006944303518857,0.009593788716135712,1.5252926515665701,0.25844342693014816
 0.17219700491514825,2.170058211303607,0.7202704918981135,0.1479393308401112,1.0331820294908893,6.000000000000008,0.025666204407625837,0.013055978450942175,1.563705889363757,0.31691523362751384
 0.18479773039562572,2.183553331510165,0.7203099777217529,0.16764315948418979,1.1087863823737543,6.000000000000009,0.02441826263243408,0.01704934031046386,1.5902888618162108,0.37836925566757956
 0.19675404904029148,2.1972391228483343,0.7203545632043232,0.18665715985312722,1.1805242942417489,6.000000000000004,0.023255143873390022,0.021573243696570446,1.607606582240418,0.442481516170446
 0.20817538609328834,2.2111135407091256,0.7204042094437832,0.20501817647751136,1.24905231655973,6.0,0.02216968775527016,0.02662697423247419,1.6175757605506438,0.508982844155507
 0.21914384938663986,2.2251745404835512,0.7204588775380912,0.22276049683132626,1.314863096319839,5.999999999999995,0.02115545167329295,0.03220973387553953,1.6216652810583094,0.5776458775270987
 0.22972283454952555,2.239420077562621,0.7205185285852058,0.23991606977880897,1.3783370072971532,6.0,0.020206628663663746,0.03832064104330079,1.6210227819734546,0.6482759844400318
 0.23996243908324796,2.2538481073373475,0.7205831236830854,0.25651470200637166,1.4397746344994877,6.0,0.01931797520067508,0.0449587307526763,1.6165585825623192,0.7207046919363334
 0.24990302098847395,2.268456585198741,0.7206526239296883,0.27258423500092843,1.4994181259308437,6.000000000000005,0.01848474723351816,0.05212295477235008,1.6090035307096326,0.7947847902585724
 0.2595776236107095,2.2832434665378134,0.7207269904229731,0.28815070477831817,1.557465741664257,5.9999999999999885,0.017702647126744086,0.05981218178829861,1.5989501478408397,0.870386597778068
 0.26901367859490644,2.298206706745576,0.7208061842608982,0.3032384862903341,1.6140820715694384,5.9999999999999885,0.016967773901832187,0.06802519758244055,1.5868826608882158,0.9473950541053388
 0.27823423300257294,2.3133442612130395,0.7208901665414221,0.3178704242036365,1.6694053980154373,5.999999999999988,0.016276580924810703,0.07676070522437298,1.5731993995766207,1.0257074192564535
 0.2872588533553357,2.328654085331216,0.7209788983625033,0.3320679515240098,1.7235531201320138,6.0,0.015625839682074073,0.08601732527617452,1.558229807048736,1.105231425990586
 0.29610430463744697,2.344134134491116,0.7210723408221001,0.34585119736859304,1.7766258278246814,5.999999999999988,0.015012606076607007,0.09579359601023263,1.5422475596929504,1.185883777377047
 0.3047850689975132,2.3597823640837507,0.7211704550181712,0.3592390850191747,1.8287104139850785,5.999999999999988,0.014434192201349536,0.10608797364006799,1.5254808231336134,1.2675889116657892
 0.3133137479915901,2.3755967295001326,0.7212732020486748,0.37224942127130156,1.87988248794954,5.999999999999974,0.013888140557550463,0.11689883256411686,1.5081203619377617,1.3502779770971534
 0.32170137872423615,2.3915751861312713,0.7213805430115695,0.38489897796761996,1.9302082723454161,6.0,0.013372200059570457,0.12822446562243206,1.490326016290421,1.4338879736884695
 0.32995768532633213,2.407715689368179,0.7214924390048137,0.39720356649519395,1.9797461119579922,6.000000000000027,0.012884307460676212,0.1400630843662622,1.4722319218975766,1.5183610293274423
 0.3380912811811192,2.4240161946018675,0.721608851126366,0.4091781059524253,2.0285476870867147,6.000000000000013,0.012422568675090916,0.1524128193404701,1.4539507491509556,1.6036437849788503
 0.3461098331555158,2.4404746572233464,0.7217297404741847,0.4208366856027051,2.076658998933094,5.9999999999999725,0.011985242624770274,0.1652717203787411,1.4355771695600335,1.6896868693429241
 0.3540201961791643,2.4570890326236285,0.7218550681462282,0.4321926221623868,2.124121177074985,5.999999999999986,0.01157072655135975,0.17863775691153577,1.4171907093510925,1.7764444474477905
 0.3618285244357188,2.4738572761937245,0.7219847952404552,0.4432585124231394,2.170971146614312,6.000000000000014,0.01117754584874193,0.19250881828674166,1.3988581093119894,1.8638738307987377
 0.3695403639275945,2.4907773433246456,0.722118882854824,0.4540462816340622,2.2172421835655665,6.000000000000028,0.010804338060881769,0.20688271410296902,1.3806352893433351,1.951935139131396
 0.37716073007310674,2.507847189407403,0.722257292087293,0.46456722805227363,2.2629643804386403,6.0000000000000435,0.010449845928506384,0.22175717455544167,1.3625689879359695,2.0405910056876793
